path_to_zip,workunitid,sizeZipfile,n_inputs,enzymes,fastaFiles,nThreads,FixedModification,VariableModifications,Rmd
/srv/www/htdocs/p2569/bfabric/Proteomics/MaxQuant/2018/2018-01/2018-01-30/workunit_162979/487854.zip,,6,,,,,,,
/srv/www/htdocs/p2617/bfabric/Proteomics/MaxQuant/2019/2019-11/2019-11-17/workunit_231404/1384812.zip,231404,683M,4,Trypsin/P,fgcz_4932_yeast_contaminants_20100113.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2617/bfabric/Proteomics/MaxQuant/2019/2019-11/2019-11-18/workunit_231408/1384822.zip,231408,675M,4,Trypsin/P,fgcz_9606_reviewed_cnl_20190709.fasta,24,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2617/bfabric/Proteomics/MaxQuant/2019/2019-12/2019-12-04/workunit_232309/1395079.zip,232309,2.6G,12,Trypsin/P,fgcz_9606_reviewed_cnl_20190709.fasta,24,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2621/bfabric/Proteomics/MaxQuant/2018/2018-09/2018-09-27/workunit_175371/717932.zip,175371,307M,4,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,48,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2621/bfabric/Proteomics/MaxQuant/2018/2018-10/2018-10-04/workunit_175758/720999.zip,,6,,,,,,,
/srv/www/htdocs/p2621/bfabric/Proteomics/MaxQuant/2018/2018-10/2018-10-05/workunit_175797/721705.zip,175797,1.1G,16,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,48,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2621/bfabric/Proteomics/MaxQuant/2018/2018-10/2018-10-26/workunit_181492/927691.zip,,6,,,,,,,
/srv/www/htdocs/p2621/bfabric/Proteomics/MaxQuant/2019/2019-05/2019-05-13/workunit_199022/1274228.zip,199022,829M,4,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2621/bfabric/Proteomics/MaxQuant/2019/2019-05/2019-05-13/workunit_199023/1274231.zip,199023,645M,4,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2621/bfabric/Proteomics/MaxQuant/2019/2019-05/2019-05-18/workunit_199270/1276718.zip,199270,282M,4,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2621/bfabric/Proteomics/MaxQuant/2019/2019-05/2019-05-24/workunit_199517/1281055.zip,199517,442M,4,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2621/bfabric/Proteomics/MaxQuant/2019/2019-05/2019-05-29/workunit_199694/1283588.zip,199694,442M,4,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,48,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2621/bfabric/Proteomics/MaxQuant/2019/2019-06/2019-06-04/workunit_199801/1284405.zip,199801,694M,6,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,24,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2621/bfabric/Proteomics/MaxQuant/2019/2019-06/2019-06-12/workunit_200000/1289081.zip,200000,694M,6,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2673/bfabric/Proteomics/MaxQuant/2021/2021-01/2021-01-19/workunit_256172/1792120.zip,256172,3.3G,8,Trypsin/P,fgcz_9606_reviewed_cnl_20190709.fasta,12,,Acetyl (Protein N-term) Oxidation (M) Phospho (STY),QCReport.Rmd
/srv/www/htdocs/p2673/bfabric/Proteomics/MaxQuant/2021/2021-02/2021-02-10/workunit_259410/1811901.zip,,6,,,,,,,
/srv/www/htdocs/p2673/bfabric/Proteomics/MaxQuant/2021/2021-02/2021-02-22/workunit_259947/1819569.zip,259947,1.8G,4,Trypsin/P,fgcz_9606_reviewed_cnl_20190709.fasta,12,,Acetyl (Protein N-term) Oxidation (M) Phospho (STY),QCReport.Rmd
/srv/www/htdocs/p2685/bfabric/Proteomics/MaxQuant/2020/2020-02/2020-02-24/workunit_238801/1556369.zip,238801,417M,2,Trypsin/P,fgcz_9606_reviewed_cnl_20190709.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2685/bfabric/Proteomics/MaxQuant/2021/2021-01/2021-01-06/workunit_255940/1786642.zip,255940,879M,6,Trypsin/P,fgcz_9606_reviewed_cnl_20190709.fasta,12,,Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2688/bfabric/Proteomics/MaxQuant/2018/2018-11/2018-11-22/workunit_183590/979590.zip,183590,109M,6,Trypsin/P,fgcz_10090_reviewed_sp_only_20160902.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2688/bfabric/Proteomics/MaxQuant/2019/2019-07/2019-07-29/workunit_201667/1311383.zip,201667,181M,9,Trypsin/P,fgcz_10090_cnl_20190709.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2688/bfabric/Proteomics/MaxQuant/2019/2019-07/2019-07-29/workunit_201671/1311391.zip,,6,,,,,,,
/srv/www/htdocs/p2688/bfabric/Proteomics/MaxQuant/2020/2020-06/2020-06-22/workunit_242844/1675996.zip,242844,1.6G,4,Trypsin/P,fgcz_10090_reviewed_cnl_20190709.fasta,12,,Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2688/bfabric/Proteomics/MaxQuant/2020/2020-06/2020-06-22/workunit_242845/1675999.zip,242845,1.1G,4,Trypsin/P,fgcz_10090_reviewed_cnl_20190709.fasta,12,,Acetyl (Protein N-term) Oxidation (M) Phospho (STY),QCReport.Rmd
/srv/www/htdocs/p2688/bfabric/Proteomics/MaxQuant/2020/2020-06/2020-06-22/workunit_242846/1676002.zip,242846,1.5G,4,Trypsin/P,fgcz_10090_reviewed_cnl_20190709.fasta,12,,Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2688/bfabric/Proteomics/MaxQuant/2020/2020-06/2020-06-22/workunit_242847/1676005.zip,242847,1.1G,4,Trypsin/P,fgcz_10090_reviewed_cnl_20190709.fasta,12,,Acetyl (Protein N-term) Oxidation (M) Phospho (STY),QCReport.Rmd
/srv/www/htdocs/p2688/bfabric/Proteomics/MaxQuant/2020/2020-11/2020-11-10/workunit_254101/1751151.zip,254101,1.9G,16,Trypsin/P,fgcz_10090_reviewed_cnl_20190709.fasta,12,,Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2688/bfabric/Proteomics/MaxQuant/2020/2020-11/2020-11-10/workunit_254102/1751154.zip,254102,1.2G,16,Trypsin/P,fgcz_10090_reviewed_cnl_20190709.fasta,12,,Acetyl (Protein N-term) Oxidation (M) Phospho (STY),QCReport.Rmd
/srv/www/htdocs/p2688/bfabric/Proteomics/MaxQuant/2020/2020-11/2020-11-10/workunit_254103/1751157.zip,254103,1.8G,8,Trypsin/P,fgcz_10090_reviewed_cnl_20190709.fasta,12,,Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2688/bfabric/Proteomics/MaxQuant/2020/2020-11/2020-11-10/workunit_254104/1751160.zip,254104,1.2G,8,Trypsin/P,fgcz_10090_reviewed_cnl_20190709.fasta,12,,Acetyl (Protein N-term) Oxidation (M) Phospho (STY),QCReport.Rmd
/srv/www/htdocs/p2688/bfabric/Proteomics/MaxQuant/2020/2020-11/2020-11-17/workunit_254466/1752769.zip,254466,969M,8,Trypsin/P,fgcz_10090_reviewed_cnl_20190709.fasta,12,,Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2688/bfabric/Proteomics/MaxQuant/2020/2020-11/2020-11-27/workunit_254741/1761182.zip,254741,586M,8,Trypsin/P,fgcz_10090_reviewed_cnl_20190709.fasta,12,,Acetyl (Protein N-term) Oxidation (M) Phospho (STY),QCReport.Rmd
/srv/www/htdocs/p2688/bfabric/Proteomics/MaxQuant/2020/2020-11/2020-11-27/workunit_254742/1761185.zip,254742,969M,8,Trypsin/P,fgcz_10090_reviewed_cnl_20190709.fasta,12,,Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2688/bfabric/Proteomics/MaxQuant/2020/2020-11/2020-11-27/workunit_254744/1761189.zip,254744,551M,8,Trypsin/P,fgcz_10090_reviewed_cnl_20190709.fasta,12,,Acetyl (Protein N-term) Oxidation (M) Phospho (STY),QCReport.Rmd
/srv/www/htdocs/p2688/bfabric/Proteomics/MaxQuant/2020/2020-11/2020-11-27/workunit_254745/1761193.zip,254745,989M,8,Trypsin/P,fgcz_10090_reviewed_cnl_20190709.fasta,12,,Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2691/bfabric/Proteomics/MaxQuant/2018/2018-11/2018-11-13/workunit_183012/973452.zip,183012,232M,9,Trypsin/P,fgcz_4932_yeast_contaminants_20100113.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2691/bfabric/Proteomics/MaxQuant/2019/2019-10/2019-10-19/workunit_222405/1361951.zip,222405,280M,4,Trypsin/P,fgcz_4932_yeast_contaminants_20100113.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2695/bfabric/Proteomics/MaxQuant/2018/2018-12/2018-12-12/workunit_186109/1041635.zip,186109,563M,16,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,12,Carbamidomethyl (C),Oxidation (M),QCReport.Rmd
/srv/www/htdocs/p2695/bfabric/Proteomics/MaxQuant/2019/2019-04/2019-04-03/workunit_196274/1207499.zip,196274,7.5G,16,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M),QCReport.Rmd
/srv/www/htdocs/p2702/bfabric/Proteomics/MaxQuant/2019/2019-02/2019-02-28/workunit_193703/1156306.zip,193703,300M,4,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2702/bfabric/Proteomics/MaxQuant/2019/2019-03/2019-03-14/workunit_194381/1163583.zip,194381,808M,4,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2702/bfabric/Proteomics/MaxQuant/2019/2019-03/2019-03-18/workunit_194544/1166770.zip,194544,1.9G,12,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2702/bfabric/Proteomics/MaxQuant/2019/2019-03/2019-03-20/workunit_194740/1168449.zip,194740,552M,4,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2702/bfabric/Proteomics/MaxQuant/2019/2019-03/2019-03-20/workunit_194741/1168452.zip,194741,422M,4,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2702/bfabric/Proteomics/MaxQuant/2019/2019-04/2019-04-01/workunit_195730/1194332.zip,195730,1.6G,11,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,24,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2702/bfabric/Proteomics/MaxQuant/2019/2019-05/2019-05-14/workunit_199050/1274487.zip,199050,1.4G,17,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCont_20161209.fasta,24,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2702/bfabric/Proteomics/MaxQuant/2019/2019-12/2019-12-10/workunit_232568/1400332.zip,232568,233M,4,Trypsin/P,fgcz_9606_reviewed_cnl_20190709.fasta,24,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2702/bfabric/Proteomics/MaxQuant/2020/2020-01/2020-01-29/workunit_237231/1500750.zip,237231,8.1G,48,Trypsin/P,fgcz_9606_reviewed_cnl_20190709.fasta,24,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2702/bfabric/Proteomics/MaxQuant/2020/2020-06/2020-06-30/workunit_243119/1678061.zip,243119,15G,47,Trypsin/P,fgcz_9606_reviewed_cnl_20190709.fasta,24,,Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2770/bfabric/Proteomics/MaxQuant/2018/2018-06/2018-06-26/workunit_168978/605445.zip,,5,,,,,,,
/srv/www/htdocs/p2770/bfabric/Proteomics/MaxQuant/2018/2018-06/2018-06-26/workunit_168980/605448.zip,,6,,,,,,,
/srv/www/htdocs/p2770/bfabric/Proteomics/MaxQuant/2018/2018-07/2018-07-26/workunit_171049/646641.zip,171049,2.9G,38,Trypsin/P,fgcz_9913_uniprot_ref_cnl_20170817.fasta,,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2770/bfabric/Proteomics/MaxQuant/2018/2018-08/2018-08-24/workunit_172954/682256.zip,172954,2.7G,38,Trypsin/P,p2770_db2_NGS_join_orfs_hom090_20180824.fasta,,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2770/bfabric/Proteomics/MaxQuant/2018/2018-08/2018-08-24/workunit_172955/682259.zip,172955,2.9G,38,Trypsin/P,p2770_db3_NGS_join_orfs_hom100_20180824.fasta,,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2787/bfabric/Proteomics/MaxQuant/2018/2018-07/2018-07-12/workunit_169957/612207.zip,169957,89M,4,Trypsin/P,fgcz_9606_reviewed_cnl_contaminantNoHumanCon_20161209.fasta,,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Phospho (STY),QCReport.Rmd
/srv/www/htdocs/p2802/bfabric/Proteomics/MaxQuant/2018/2018-11/2018-11-21/workunit_183445/978245.zip,183445,215M,9,Trypsin/P,fgcz_4932_yeast_contaminants_20100113.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2802/bfabric/Proteomics/MaxQuant/2018/2018-11/2018-11-21/workunit_183466/978491.zip,183466,217M,9,Trypsin/P,fgcz_4932_ensembl_R64_1_1_20171115.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2821/bfabric/Proteomics/MaxQuant/2019/2019-12/2019-12-04/workunit_232314/1395091.zip,232314,783M,4,Trypsin/P,fgcz_9615_cnl_dog_20190729.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2821/bfabric/Proteomics/MaxQuant/2019/2019-12/2019-12-06/workunit_232411/1397939.zip,232411,612M,4,Trypsin/P,fgcz_9615_cnl_dog_20190729.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2821/bfabric/Proteomics/MaxQuant/2019/2019-12/2019-12-11/workunit_232630/1400696.zip,232630,870M,4,Trypsin/P,fgcz_9615_cnl_dog_20190729.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2821/bfabric/Proteomics/MaxQuant/2019/2019-12/2019-12-16/workunit_232832/1401725.zip,232832,2.2G,10,Trypsin/P,fgcz_9615_cnl_dog_20190729.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2858/bfabric/Proteomics/MaxQuant/2019/2019-02/2019-02-18/workunit_192802/1146275.zip,192802,142M,4,Trypsin/P,p2858_db_toxoplasma_20181205.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Phospho (STY),QCReport.Rmd
/srv/www/htdocs/p2858/bfabric/Proteomics/MaxQuant/2019/2019-02/2019-02-22/workunit_193117/1149284.zip,193117,154M,4,Trypsin/P,p2858_db2_toxplasmaGT1_20181205.fasta,12,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Phospho (STY),QCReport.Rmd
/srv/www/htdocs/p2865/bfabric/Proteomics/MaxQuant/2019/2019-08/2019-08-26/workunit_202570/1322564.zip,202570,3.4G,11,Trypsin/P,fgcz_9606_reviewed_cnl_20190709.fasta,24,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2865/bfabric/Proteomics/MaxQuant/2020/2020-01/2020-01-13/workunit_234979/1462850.zip,234979,4.8G,19,Trypsin/P,fgcz_9606_reviewed_cnl_20190709.fasta,24,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2873/bfabric/Proteomics/MaxQuant/2018/2018-09/2018-09-03/workunit_173731/697882.zip,,6,,,,,,,
/srv/www/htdocs/p2873/bfabric/Proteomics/MaxQuant/2018/2018-09/2018-09-06/workunit_174035/701553.zip,174035,297M,4,Trypsin/P,p2873_rainbowTrout_20180903.fasta,,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2873/bfabric/Proteomics/MaxQuant/2018/2018-09/2018-09-06/workunit_174040/701641.zip,174040,297M,4,Trypsin/P,p2873_rainbowTrout_20180903.fasta,48,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2873/bfabric/Proteomics/MaxQuant/2018/2018-09/2018-09-07/workunit_174146/702540.zip,174146,451M,4,Trypsin/P,p2873_rainbowTrout_20180903.fasta,48,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2873/bfabric/Proteomics/MaxQuant/2018/2018-10/2018-10-19/workunit_177464/770966.zip,,7,,,,,,,
/srv/www/htdocs/p2873/bfabric/Proteomics/MaxQuant/2018/2018-10/2018-10-19/workunit_177466/771029.zip,177466,3.1G,45,Trypsin/P,p2873_rainbowTrout_20180903.fasta,48,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2874/bfabric/Proteomics/MaxQuant/2018/2018-08/2018-08-29/workunit_173317/690857.zip,173317,88M,4,Trypsin/P,fgcz_10090_reviewed_sp_only_20160902.fasta,,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2874/bfabric/Proteomics/MaxQuant/2018/2018-08/2018-08-30/workunit_173471/694241.zip,173471,122M,4,Trypsin/P,fgcz_10090_reviewed_sp_only_20160902.fasta,,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2874/bfabric/Proteomics/MaxQuant/2018/2018-09/2018-09-03/workunit_173737/698159.zip,173737,131M,4,Trypsin/P,fgcz_10090_reviewed_sp_only_20160902.fasta,,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2874/bfabric/Proteomics/MaxQuant/2018/2018-10/2018-10-12/workunit_176274/729917.zip,176274,745M,24,Trypsin/P,fgcz_10090_reviewed_sp_only_20160902.fasta,24,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
/srv/www/htdocs/p2883/bfabric/Proteomics/MaxQuant/2018/2018-09/2018-09-06/workunit_174047/701653.zip,174047,235M,4,Trypsin/P,fgcz_10090_reviewed_sp_only_20160902.fasta,48,Carbamidomethyl (C),Acetyl (Protein N-term) Oxidation (M) Deamidation (NQ),QCReport.Rmd
